wholepath,ctxID,centerlon,centerlat,areakm2,hits,hitratio,RegistrationScore,review_status
G:\crater_flux_output_folders\output_130_140_0_75\B12_014344_2191_XN_39N220W_J10_048866_2186_XN_38N220W,B12_014344_2191_XN_39N220W_J10_048866_2186_XN_38N220W,-2391771.208,2282653.9,527.6701363,17,0.032217097,0.478179216,done
G:\crater_flux_output_folders\output_0_10_-25_-0.01\B01_009866_1747_XN_05S358W_J19_052247_1701_XI_09S358W,B01_009866_1747_XN_05S358W_J19_052247_1701_XI_09S358W,-10584097.97,-468082.9053,63.93404174,7,0.109487838,0.478155911,done
G:\crater_flux_output_folders\output_0_10_0_75\F20_043715_2175_XI_37N350W_F19_043148_2153_XN_35N350W,F20_043715_2175_XI_37N350W_F19_043148_2153_XN_35N350W,-10083698.35,2080995.734,403.7616615,2,0.004953417,0.4780792,done
G:\crater_flux_output_folders\Impact_flux_project\output_80_90_0_75\G03_019357_1836_XN_03N275W_D15_033163_1834_XN_03N275W,G03_019357_1836_XN_03N275W_D15_033163_1834_XN_03N275W,-5640876.225,206815.537,29.34779159,5,0.170370571,0.478041351,done
G:\crater_flux_output_folders\output_0_10_0_75\G22_027008_2044_XN_24N359W_J19_052326_2024_XN_22N359W,G22_027008_2044_XN_24N359W_J19_052326_2024_XN_22N359W,-10655543.88,1369541.326,114.6994579,18,0.156931866,0.478026092,done
G:\crater_flux_output_folders\output_-60_-50_0_75\P08_004185_2153_XI_35N051W_G18_025322_2119_XN_31N051W,P08_004185_2153_XI_35N051W_G18_025322_2119_XN_31N051W,7598383.015,1960214.498,43.91286287,4,0.091089484,0.478000969,done
G:\crater_flux_output_folders\Impact_flux_project\output_80_90_0_75\B01_010156_1431_XN_36S352W_D20_035223_1478_XN_32S352W,B01_010156_1431_XN_36S352W_D20_035223_1478_XN_32S352W,-10197537.62,-2066731.425,159.8543272,0,0,0.477976859,
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\G01_018786_2264_XN_46N171W_G19_025656_2264_XN_46N171W,G01_018786_2264_XN_46N171W_G19_025656_2264_XN_46N171W,506617.0164,2735521.681,376.325011,12,0.03188733,0.477945596,done
G:\crater_flux_output_folders\output_80_90_-50_-25\P20_008729_1454_XI_34S271W_B21_017867_1487_XN_31S272W,P20_008729_1454_XI_34S271W_B21_017867_1487_XN_31S272W,-5453568.07,-1883836.906,200.1616501,18,0.089927316,0.477934957,
G:\crater_flux_output_folders\output_80_90_-50_-25\D12_031818_1438_XN_36S269W_D13_032240_1436_XN_36S269W,D12_031818_1438_XN_36S269W_D13_032240_1436_XN_36S269W,-5335321.877,-2123634.313,5.482678478,0,0,0.477910489,
G:\crater_flux_output_folders\output_130_140_-75_0\B05_011562_1756_XI_04S222W_G20_026146_1752_XN_04S222W,B05_011562_1756_XI_04S222W_G20_026146_1752_XN_04S222W,-2521291.556,-261471.8205,410.9653658,0,0,0.477903575,
G:\crater_flux_output_folders\output_-60_-50_-75_0\P18_008009_1725_XN_07S053W_F19_043256_1764_XN_03S054W,P18_008009_1725_XN_07S053W_F19_043256_1764_XN_03S054W,7474999.552,-361121.5935,171.9542577,9,0.052339501,0.477886468,done
G:\crater_flux_output_folders\output_-110_-100_-85_-30\B19_017162_1479_XN_32S104W_G23_027144_1441_XN_35S103W,B19_017162_1479_XN_32S104W_G23_027144_1441_XN_35S103W,4512563.377,-2043637.662,131.8284139,4,0.030342472,0.477871954,done
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\D03_028201_2296_XN_49N170W_F04_037273_2296_XN_49N170W,D03_028201_2296_XN_49N170W_F04_037273_2296_XN_49N170W,570221.9452,2926957.664,1037.173203,5,0.004820796,0.477849036,done
G:\crater_flux_output_folders\Impact_flux_project\output_80_90_0_75\B19_017023_1890_XN_09N274W_G23_027150_1927_XN_12N274W,B19_017023_1890_XN_09N274W_G23_027150_1927_XN_12N274W,-5567483.207,576408.4932,88.35683904,9,0.101859687,0.477737367,done
G:\crater_flux_output_folders\output_0_10_-25_-0.01\P07_003761_1823_XN_02N351W_J05_046801_1796_XI_00S351W,P07_003761_1823_XN_02N351W_J05_046801_1796_XI_00S351W,-10164664.38,-10492.66308,316.2052599,5,0.015812514,0.477736205,done
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\J01_045159_2446_XN_64N174W_J02_045581_2419_XN_61N173W,J01_045159_2446_XN_64N174W_J02_045581_2419_XN_61N173W,366089.5093,3758905.645,800.1539759,0,0,0.477706552,
