ctxID,wholepath,output_folder,lat_min,lat_max,areakm2_original,areakm2_clipped
B07_012390_0959_XN_84S117W_G05_020170_0957_XN_84S117W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\B07_012390_0959_XN_84S117W_G05_020170_0957_XN_84S117W,output_-115_-110_-85_-70,-84.3868,-84.3116,4.2109,0.0
G05_020170_0957_XN_84S117W_G07_020948_0957_XN_84S117W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\G05_020170_0957_XN_84S117W_G07_020948_0957_XN_84S117W,output_-115_-110_-85_-70,-84.5499,-84.3116,35.3402,0.0
P10_004980_0945_XN_85S099W_G08_021502_0957_XN_84S117W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P10_004980_0945_XN_85S099W_G08_021502_0957_XN_84S117W,output_-115_-110_-85_-70,-84.3414,-84.3195,0.3824,0.0
P05_003068_0957_XI_84S118W_P05_003125_0845_XI_84S117W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P05_003068_0957_XI_84S118W_P05_003125_0845_XI_84S117W,output_-115_-110_-85_-70,-84.4994,-84.321,16.2532,0.0
P05_003068_0957_XI_84S118W_J12_049431_0962_XN_83S126W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P05_003068_0957_XI_84S118W_J12_049431_0962_XN_83S126W,output_-115_-110_-85_-70,-84.4994,-84.4139,5.3334,0.0
B08_012720_0948_XN_85S111W_J13_049734_0963_XI_83S123W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\B08_012720_0948_XN_85S111W_J13_049734_0963_XI_83S123W,output_-115_-110_-85_-70,-85.0,-84.8188,22.2553,0.0
P05_003147_0955_XI_84S117W_J05_046543_0955_XN_84S118W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P05_003147_0955_XI_84S117W_J05_046543_0955_XN_84S118W,output_-115_-110_-85_-70,-84.7556,-84.7194,0.8771,0.0
G10_021937_0957_XN_84S117W_D06_029585_0957_XN_84S117W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\G10_021937_0957_XN_84S117W_D06_029585_0957_XN_84S117W,output_-115_-110_-85_-70,-84.5661,-84.343,33.3628,0.0
J10_048573_0995_XN_80S113W_J13_049984_0994_XN_80S112W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\J10_048573_0995_XN_80S113W_J13_049984_0994_XN_80S112W,output_-115_-110_-85_-70,-80.8478,-80.0657,684.9313,0.0
G06_020407_0969_XN_83S112W_J09_048257_0962_XN_83S114W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\G06_020407_0969_XN_83S112W_J09_048257_0962_XN_83S114W,output_-115_-110_-85_-70,-84.01,-82.5269,1119.795,0.0
J10_048586_0990_XN_81S110W_J11_049285_0994_XN_80S110W,G:\crater_flux_output_folders\output_-110_-100_-85_-30\J10_048586_0990_XN_81S110W_J11_049285_0994_XN_80S110W,output_-115_-110_-85_-70,-81.4511,-80.4901,651.9342,0.0
P07_003780_0957_XI_84S118W_G06_020724_0957_XN_84S117W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P07_003780_0957_XI_84S118W_G06_020724_0957_XN_84S117W,output_-115_-110_-85_-70,-84.5367,-84.3443,21.7981,0.0
J10_048507_1000_XN_80S112W_J13_049760_0973_XI_82S107W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\J10_048507_1000_XN_80S112W_J13_049760_0973_XI_82S107W,output_-115_-110_-85_-70,-80.7027,-80.6334,1.7191,0.0
P08_004202_0957_XI_84S118W_G05_020170_0957_XN_84S117W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P08_004202_0957_XI_84S118W_G05_020170_0957_XN_84S117W,output_-115_-110_-85_-70,-84.5329,-84.3292,24.3661,0.0
P09_004413_0957_XI_84S118W_D06_029585_0957_XN_84S117W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P09_004413_0957_XI_84S118W_D06_029585_0957_XN_84S117W,output_-115_-110_-85_-70,-84.5222,-84.343,20.667,0.0
P07_003925_0958_XI_84S115W_B07_012390_0959_XN_84S117W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P07_003925_0958_XI_84S115W_B07_012390_0959_XN_84S117W,output_-115_-110_-85_-70,-84.3868,-84.1998,23.3522,0.0
P04_002567_0957_XI_84S118W_D06_029585_0957_XN_84S117W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P04_002567_0957_XI_84S118W_D06_029585_0957_XN_84S117W,output_-115_-110_-85_-70,-84.5439,-84.343,25.6381,0.0
P04_002646_0957_XI_84S118W_P08_004202_0957_XI_84S118W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P04_002646_0957_XI_84S118W_P08_004202_0957_XI_84S118W,output_-115_-110_-85_-70,-84.4914,-84.3319,14.19,0.0
J09_048323_0946_XN_85S108W_J12_049431_0962_XN_83S126W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\J09_048323_0946_XN_85S108W_J12_049431_0962_XN_83S126W,output_-115_-110_-85_-70,-85.0,-84.874,56.8518,0.0
P05_003125_0845_XI_84S117W_P05_003160_0958_XI_84S117W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P05_003125_0845_XI_84S117W_P05_003160_0958_XI_84S117W,output_-115_-110_-85_-70,-84.5235,-84.1668,58.2489,0.0
J09_048244_0946_XN_85S108W_J09_048323_0946_XN_85S108W,G:\crater_flux_output_folders\output_-110_-100_-85_-30\J09_048244_0946_XN_85S108W_J09_048323_0946_XN_85S108W,output_-115_-110_-85_-70,-85.0,-84.7892,19.7784,0.0
P08_004333_1029_XI_77S110W_G13_023136_1029_XN_77S109W,G:\crater_flux_output_folders\output_-110_-100_-85_-30\P08_004333_1029_XI_77S110W_G13_023136_1029_XN_77S109W,output_-115_-110_-85_-70,-77.3123,-75.689,1467.4397,0.0
P11_005151_0951_XI_84S101W_B08_012614_0971_XN_82S115W,G:\crater_flux_output_folders\output_-110_-100_-85_-30\P11_005151_0951_XI_84S101W_B08_012614_0971_XN_82S115W,output_-115_-110_-85_-70,-83.8374,-83.8108,877.3992,0.0
F09_039501_0981_XN_81S110W_J10_048573_0995_XN_80S113W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\F09_039501_0981_XN_81S110W_J10_048573_0995_XN_80S113W,output_-115_-110_-85_-70,-80.8949,-80.693,119.348,0.0
P06_003345_0955_XI_84S115W_P07_003925_0958_XI_84S115W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P06_003345_0955_XI_84S115W_P07_003925_0958_XI_84S115W,output_-115_-110_-85_-70,-84.6216,-84.1421,182.341,0.0
P05_003068_0957_XI_84S118W_P06_003424_0957_XI_84S118W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P05_003068_0957_XI_84S118W_P06_003424_0957_XI_84S118W,output_-115_-110_-85_-70,-84.4994,-84.335,17.8275,0.0
P06_003345_0955_XI_84S115W_P07_003780_0957_XI_84S118W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P06_003345_0955_XI_84S115W_P07_003780_0957_XI_84S118W,output_-115_-110_-85_-70,-84.5367,-84.3443,26.5473,0.0
D06_029585_0957_XN_84S117W_D12_031774_0958_XN_84S118W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\D06_029585_0957_XN_84S117W_D12_031774_0958_XN_84S118W,output_-115_-110_-85_-70,-84.3702,-84.343,0.1004,0.0
P05_002936_0957_XI_84S118W_P06_003402_0845_XI_84S115W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P05_002936_0957_XI_84S118W_P06_003402_0845_XI_84S115W,output_-115_-110_-85_-70,-84.5264,-84.3648,16.0664,0.0
B08_012614_0971_XN_82S115W_J13_049747_0973_XI_82S115W,G:\crater_flux_output_folders\output_-110_-100_-85_-30\B08_012614_0971_XN_82S115W_J13_049747_0973_XI_82S115W,output_-115_-110_-85_-70,-83.9612,-81.6816,491.4762,0.0
J11_048929_1001_XN_79S110W_J13_049720_0993_XI_80S108W,G:\crater_flux_output_folders\output_-110_-100_-85_-30\J11_048929_1001_XN_79S110W_J13_049720_0993_XI_80S108W,output_-115_-110_-85_-70,-80.1343,-79.4105,1374.2908,0.0
F13_040978_1004_XN_79S118W_J14_050393_1001_XI_79S119W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\F13_040978_1004_XN_79S118W_J14_050393_1001_XI_79S119W,output_-115_-110_-85_-70,-82.3952,-80.8018,870.545,0.0
P08_004333_1029_XI_77S110W_P13_006179_1051_XN_74S111W,G:\crater_flux_output_folders\output_-110_-100_-85_-30\P08_004333_1029_XI_77S110W_P13_006179_1051_XN_74S111W,output_-115_-110_-85_-70,-76.7118,-75.689,482.8587,0.0
P08_004333_1029_XI_77S110W_J14_050353_1027_XI_77S110W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P08_004333_1029_XI_77S110W_J14_050353_1027_XI_77S110W,output_-115_-110_-85_-70,-77.9993,-75.7371,1561.6677,0.0
B12_014407_1025_XN_77S117W_J13_049984_0994_XN_80S112W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\B12_014407_1025_XN_77S117W_J13_049984_0994_XN_80S112W,output_-115_-110_-85_-70,-79.8376,-79.4994,296.4828,0.0
P05_003160_0958_XI_84S117W_G08_021502_0957_XN_84S117W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P05_003160_0958_XI_84S117W_G08_021502_0957_XN_84S117W,output_-115_-110_-85_-70,-84.518,-84.2576,54.2886,0.0
