impact_id,lon,lat,category,n_ctx,ProductId,UTCstart
9,-113.431,-2.02,good,7,J03_045922_1780_XN_02S113W,2016-05-13T17:39:34.587
9,-113.431,-2.02,good,7,J05_046845_1793_XN_00S113W,2016-07-24T15:48:34.560
10,-123.966,-6.018,faint,22,P07_003845_1749_XN_05S124W,2007-05-23T01:17:36.820
10,-123.966,-6.018,faint,22,B05_011743_1731_XN_06S124W,2009-01-27T12:35:16.366
10,-123.966,-6.018,faint,22,B06_011809_1731_XN_06S123W,2009-02-01T16:00:43.422
10,-123.966,-6.018,faint,22,B12_014433_1731_XI_06S124W,2009-08-25T03:09:52.319
10,-123.966,-6.018,faint,22,B17_016200_1740_XI_06S124W,2010-01-09T19:30:44.117
10,-123.966,-6.018,faint,22,B17_016411_1731_XN_06S124W,2010-01-26T06:05:19.260
10,-123.966,-6.018,faint,22,G04_019602_1732_XI_06S124W,2010-10-01T21:39:17.296
10,-123.966,-6.018,faint,22,G08_021514_1731_XI_06S124W,2011-02-27T21:18:41.998
10,-123.966,-6.018,faint,22,G19_025549_1749_XI_05S124W,2012-01-08T07:13:19.731
10,-123.966,-6.018,faint,22,G21_026327_1734_XN_06S123W,2012-03-08T22:07:48.619
10,-123.966,-6.018,faint,22,G22_026683_1749_XI_05S124W,2012-04-05T15:53:06.553
10,-123.966,-6.018,faint,22,D09_030850_1731_XI_06S124W,2013-02-24T08:27:37.155
10,-123.966,-6.018,faint,22,D14_032696_1732_XI_06S124W,2013-07-18T04:49:10.588
10,-123.966,-6.018,faint,22,D20_034964_1731_XN_06S124W,2014-01-10T22:25:24.189
10,-123.966,-6.018,faint,22,F02_036520_1729_XI_07S123W,2014-05-12T04:14:00.149
10,-123.966,-6.018,faint,22,F06_038142_1732_XI_06S124W,2014-09-15T13:30:27.282
10,-123.966,-6.018,faint,22,F14_041228_1732_XI_06S124W,2015-05-13T23:50:30.037
10,-123.966,-6.018,faint,22,F18_042863_1732_XI_06S124W,2015-09-18T09:34:47.439
10,-123.966,-6.018,faint,22,J03_045896_1733_XI_06S124W,2016-05-11T17:00:24.526
10,-123.966,-6.018,faint,22,J08_048098_1732_XI_06S124W,2016-10-30T07:17:44.610
10,-123.966,-6.018,faint,22,J12_049588_1732_XI_06S124W,2017-02-23T09:57:18.146
10,-123.966,-6.018,faint,22,J16_051078_1732_XI_06S124W,2017-06-19T12:30:37.564
11,-109.233,2.912,good,3,P17_007510_1851_XN_05N109W,2008-03-03T15:41:54.788
11,-109.233,2.912,good,3,B05_011782_1818_XI_01N109W,2009-01-30T13:33:36.333
11,-109.233,2.912,good,3,B07_012349_1829_XI_02N109W,2009-03-15T17:54:14.858
12,-104.989,11.479,good,8,P13_005954_1927_XI_12N105W,2007-11-03T09:29:10.164
12,-104.989,11.479,good,8,B06_012006_1912_XI_11N104W,2009-02-17T00:31:01.208
12,-104.989,11.479,good,8,B08_012573_1925_XI_12N105W,2009-04-02T04:51:35.890
12,-104.989,11.479,good,8,B08_012718_1911_XI_11N104W,2009-04-13T12:01:56.801
12,-104.989,11.479,good,8,B10_013707_1915_XI_11N105W,2009-06-29T13:34:00.486
12,-104.989,11.479,good,8,G12_022779_1912_XI_11N104W,2011-06-06T11:07:20.675
12,-104.989,11.479,good,8,D10_031047_1915_XN_11N105W,2013-03-11T17:00:00.906
12,-104.989,11.479,good,8,F12_040502_1915_XN_11N105W,2015-03-18T10:15:08.474
13,177.892,5.544,good,3,P02_001790_1871_XN_07N182W,2006-12-13T22:17:15.580
13,177.892,5.544,good,3,B06_012022_1845_XI_04N182W,2009-02-18T06:24:17.221
13,177.892,5.544,good,3,B21_017969_1856_XI_05N182W,2010-05-27T15:49:09.848
